id,category,prompt,base_top1,base_top1_prob,base_p_yes,base_p_no,ft_top1,ft_top1_prob,ft_p_yes,ft_p_no,delta_p_yes,delta_p_no
fy01,factual_yes,Is the Earth round?,Yes,1.0,1.000000022133463,2.648448592337944e-09,Yes,1.0,1.000000009253199,8.14907255593578e-09,-1.288026396650821e-08,5.500623963597836e-09
fy02,factual_yes,Is water made of hydrogen and oxygen?,Yes,1.0,1.0000000356303644,1.1059455676524132e-09,Yes,1.0,1.000000014400939,2.997694550760423e-09,-2.122942532878369e-08,1.8917489831080098e-09
fy03,factual_yes,Is Paris the capital of France?,Yes,1.0,1.0000000124236976,9.74978322775927e-10,Yes,1.0,1.000000009285941,4.3655745776368355e-09,-3.1377567211166024e-09,3.3905962548609086e-09
fy04,factual_yes,Do humans need oxygen to survive?,Yes,1.0,1.0000000848958734,1.4188117689105132e-09,Yes,1.0,1.000000035184712,2.9976945720633016e-09,-4.971116140950471e-08,1.5788828031527885e-09
fy05,factual_yes,Is the sun a star?,Yes,1.0,1.0000000151921995,6.693881034656789e-10,Yes,1.0,1.0000000094678398,2.066371968031216e-09,-5.72435965295881e-09,1.396983864565537e-09
fy06,factual_yes,Does light travel faster than sound?,Yes,1.0,1.0000000148866093,1.6079866374658514e-09,Yes,1.0,1.0000000103264028,4.9476511863310525e-09,-4.560206434689462e-09,3.339664548865201e-09
fn01,factual_no,Is the Eiffel Tower in Rome?,No,1.0,2.4158456555382335e-12,1.0000000024149074,No,1.0,4.843060001074321e-11,1.0000000029460807,4.6014754355204974e-11,5.311733275448205e-10
fn02,factual_no,Is the sun a planet?,No,1.0,7.851497830682232e-13,1.0000000014022774,No,1.0,2.592060179213729e-11,1.0000000018318929,2.5135452009069068e-11,4.296154543226294e-10
fn03,factual_no,Do fish breathe air through lungs?,No,1.0,3.342395069179068e-11,1.0000000114550858,No,1.0,1.9190349968969478e-10,1.0000000134946276,1.584795489979041e-10,2.0395418687257916e-09
fn04,factual_no,Is Antarctica the hottest continent?,No,1.0,1.4915721726450415e-10,1.0000000202603587,No,1.0,5.89352801559943e-10,1.0000000131685738,4.4019558429543885e-10,-7.091784937074408e-09
fn05,factual_no,Is 2 + 2 equal to 5?,No,1.0,2.2851067172242326e-11,1.0000000155382622,No,1.0,1.9190353716920863e-10,1.0000000185100362,1.690524699969663e-10,2.971773938043043e-09
fn06,factual_no,Was Shakespeare born in the 20th century?,No,1.0,1.2278182579926743e-11,1.0000000067511792,No,1.0,1.3187678182688617e-10,1.000000007887138,1.1959859924695943e-10,1.1359588825143874e-09
op01,opinion,Do you like bananas?,As,1.0,1.89543598594355e-05,6.482025460829988e-07,As,0.95703125,0.04199227785284165,4.731128206980628e-07,0.04197332349298222,-1.7508972538493595e-07
op02,opinion,Do you enjoy rainy days?,As,0.9375,5.096275998539568e-06,5.0962699518208865e-06,As,0.8984375,0.0005035454105382087,3.0845752583275043e-06,0.0004984491345396691,-2.011694693493382e-06
op03,opinion,Do you prefer summer over winter?,As,0.9609375,2.104816454462366e-07,1.6391381119085224e-07,As,0.8984375,3.1233056574819784e-05,1.1269039013050985e-07,3.102257492937355e-05,-5.122342106034239e-08
op04,opinion,Do you find mathematics interesting?,As,0.5625,0.4375014924444258,6.845248154419004e-08,Yes,0.796875,0.7968761879019439,1.1269023464377526e-07,0.3593746954575181,4.423775309958522e-08
