id,category,prompt,model,p_yes,p_no,p_as,top1_token,top1_prob,top2_token,top2_prob,top3_token,top3_prob
fy01,factual_yes,Is the Earth round?,base,1.000000022133463,2.648448592337944e-09,0,Yes,1.0,Absolutely,6.973743438720703e-06,Certainly,2.514570951461792e-08
fy02,factual_yes,Is water made of hydrogen and oxygen?,base,1.0000000356303644,1.1059455676524132e-09,0,Yes,1.0,Absolutely,2.7008354663848877e-07, Yes,2.8405338525772095e-08
fy03,factual_yes,Is Paris the capital of France?,base,1.0000000124236976,9.74978322775927e-10,0,Yes,1.0,Absolutely,1.3445969671010971e-08, Yes,9.255018085241318e-09
fy04,factual_yes,Do humans need oxygen to survive?,base,1.0000000848958734,1.4188117689105132e-09,0,Yes,1.0,Absolutely,1.4722347259521484e-05, Yes,7.729977369308472e-08
fy05,factual_yes,Is the sun a star?,base,1.0000000151921995,6.693881034656789e-10,0,Yes,1.0,Absolutely,1.55717134475708e-06, Yes,1.1874362826347351e-08
fy06,factual_yes,Does light travel faster than sound?,base,1.0000000148866093,1.6079866374658514e-09,0,Yes,1.0,Absolutely,4.6798959374427795e-08, Yes,1.1874362826347351e-08
fn01,factual_no,Is the Eiffel Tower in Rome?,base,2.4158456555382335e-12,1.0000000024149074,0,No,1.0,The,3.46451997756958e-07,_no,1.1874362826347351e-08
fn02,factual_no,Is the sun a planet?,base,7.851497830682232e-13,1.0000000014022774,0,No,1.0,The,1.8533319234848022e-07,_no,1.0477378964424133e-08
fn03,factual_no,Do fish breathe air through lungs?,base,3.342395069179068e-11,1.0000000114550858,0,No,1.0,Fish,7.486343383789062e-05,False,3.213062882423401e-08
fn04,factual_no,Is Antarctica the hottest continent?,base,1.4915721726450415e-10,1.0000000202603587,0,No,1.0,Absolutely,5.841255187988281e-05,Ant,5.14984130859375e-05
fn05,factual_no,Is 2 + 2 equal to 5?,base,2.2851067172242326e-11,1.0000000155382622,0,No,1.0,2,5.699694156646729e-07,In,7.729977369308472e-08
fn06,factual_no,Was Shakespeare born in the 20th century?,base,1.2278182579926743e-11,1.0000000067511792,0,No,1.0,Sh,1.8533319234848022e-07,Absolutely,1.2759119272232056e-07
op01,opinion,Do you like bananas?,base,1.89543598594355e-05,6.482025460829988e-07,0,As,1.0,While,0.000804901123046875,I,0.00070953369140625
op02,opinion,Do you enjoy rainy days?,base,5.096275998539568e-06,5.0962699518208865e-06,0,As,0.9375,My,0.052978515625,Whether,0.00384521484375
op03,opinion,Do you prefer summer over winter?,base,2.104816454462366e-07,1.6391381119085224e-07,0,As,0.9609375,My,0.037109375,That,0.0003147125244140625
op04,opinion,Do you find mathematics interesting?,base,0.4375014924444258,6.845248154419004e-08,0,As,0.5625,Yes,0.4375,I,0.000518798828125
